Date,source,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2026-08-18,"DA Daily Price Index (DPI workbook, PDF-validated)",59.6,51.96,47.8,45.01,59.9,54.16,48.54,44.72
2026-08-19,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,52.31,47.79,45.0,60.27,54.58,48.44,44.77
2026-08-20,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,52.16,47.8,45.25,60.11,54.22,48.53,44.72
2026-08-21,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,52.2,47.8,45.25,60.14,54.25,48.56,44.76
2026-08-22,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.41,47.76,45.25,59.59,53.66,48.07,44.92
2026-08-23,"DA Daily Price Index (DPI workbook, PDF-validated)",59.72,52.44,47.75,45.25,59.58,53.62,48.1,45.08
2026-08-24,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.47,47.77,45.25,59.95,54.1,48.54,44.82
2026-08-25,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.49,47.77,45.25,59.98,54.11,48.54,44.8
2026-08-26,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.5,47.75,45.25,60.05,54.19,48.64,44.87
2026-08-27,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.55,47.73,45.25,60.05,54.19,48.6,44.87
2026-08-28,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.62,47.73,45.25,60.0,54.22,48.61,44.87
2026-08-29,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,53.28,47.73,46.0,59.61,53.74,48.13,45.1
2026-08-30,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,53.72,47.64,45.25,60.12,54.33,48.56,45.5
2026-08-31,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,53.7,47.69,45.0,60.65,54.7,48.94,44.96
2026-09-01,"DA Daily Price Index (DPI workbook, PDF-validated)",59.12,53.52,47.71,45.25,60.43,54.61,49.13,45.38
2026-09-02,"DA Daily Price Index (DPI workbook, PDF-validated)",59.74,52.98,47.72,45.25,60.04,54.11,48.57,44.87
